,T0,T1,T2,A_1
T0,-0.82,-0.37,-0.01,-0.05
T1,-0.81,-1.7,0.0,-0.24
T2,-0.23,0.46,-1.99,-0.68
A_1,-0.17,-0.62,-0.42,-2.0
