,T0,T1,T2,D_0
T0,-0.86,-0.67,-0.3,0.45
T1,-0.61,-1.75,0.0,0.0
T2,-0.0,0.47,-2.06,-0.21
D_0,0.0,0.89,-0.01,-1.21
