,T0,T1,T2,D_0
T0,-1.05,0.14,-0.04,-0.04
T1,-1.22,-2.02,-0.6,0.69
T2,-0.14,0.36,-2.09,0.01
D_0,0.01,-0.0,0.17,-0.68
