,T0,T1,T2,E_0
T0,-1.06,-0.0,-0.0,0.21
T1,-0.81,-1.88,-0.04,-0.0
T2,-0.27,0.08,-2.11,1.02
E_0,0.0,-0.44,0.0,-2.55
