,T0,T1,T2,B_0
T0,-1.01,-0.22,0.0,-0.17
T1,-0.48,-1.96,-0.0,0.22
T2,-0.09,0.04,-2.02,-0.31
B_0,-0.01,0.0,-0.0,-1.79
