,T0,T1,T2,A_1
T0,-1.12,0.18,0.26,0.34
T1,-1.34,-1.81,0.0,-0.25
T2,-0.52,0.14,-1.96,-0.32
A_1,-1.07,-0.0,-1.08,-1.95
