,T0,T1,T2,C_0
T0,-0.82,-0.22,-0.0,-0.07
T1,-0.85,-1.87,-0.14,0.22
T2,0.13,0.79,-2.1,-0.43
C_0,-1.02,-0.0,0.37,-1.57
