,T0,T1,T2,B_0
T0,-0.79,-0.71,-0.05,-0.0
T1,-0.39,-2.0,0.29,0.24
T2,0.24,0.45,-2.09,-0.3
B_0,-0.12,0.14,-0.0,-1.66
