,T0,T1,T2,A_0
T0,-0.81,-0.6,0.13,-0.0
T1,-0.46,-1.93,0.36,-0.45
T2,0.06,0.4,-2.04,-0.53
A_0,-0.12,-0.2,-0.73,-2.37
