,T0,T1,T2,E_1
T0,-0.85,-0.17,0.03,0.25
T1,-0.98,-1.82,-0.0,-0.18
T2,0.03,0.7,-2.13,0.36
E_1,0.0,-0.08,0.0,-2.52
