,T0,T1,T2,E_3
T0,-0.73,-0.08,0.13,0.32
T1,-1.0,-1.86,0.0,-0.0
T2,0.16,0.49,-2.19,0.6
E_3,-0.13,-0.18,0.0,-1.75
