,T0,T1,T2,C_3
T0,-0.59,-0.03,0.29,-0.41
T1,-0.94,-1.99,0.0,0.33
T2,0.25,0.53,-2.05,-0.19
C_3,-0.01,0.0,0.0,-0.33
