,T0,T1,T2,B_0
T0,-0.68,-0.0,0.44,-0.54
T1,-1.12,-1.94,-0.01,0.68
T2,-0.0,0.52,-2.04,-0.01
B_0,0.39,-0.12,-0.04,-1.79
