,T0,T1,T2,B_0
T0,-0.88,-0.48,0.0,-0.0
T1,-0.67,-1.91,0.0,0.27
T2,0.18,0.46,-1.93,-0.2
B_0,-0.0,0.0,-0.32,-1.82
