,T0,T1,T2,D_0
T0,-0.87,-0.33,0.0,-0.23
T1,-0.79,-1.86,0.0,-0.01
T2,0.14,0.48,-1.95,-0.0
D_0,-0.03,-0.09,-0.0,-2.18
