,T0,T1,T2,E_3
T0,-0.89,-0.25,0.06,-0.13
T1,-0.9,-1.83,-0.0,-0.19
T2,-0.0,0.5,-2.04,0.78
E_3,0.0,-0.19,-0.0,-1.74
