,T0,T1,T2,A_1
T0,-0.9,-0.15,0.0,-0.0
T1,-1.07,-1.78,-0.0,-0.73
T2,0.16,0.54,-1.91,-0.72
A_1,-0.38,-0.1,-0.21,-2.04
