,T0,T1,T2,D_0
T0,-0.88,-0.63,-0.0,0.05
T1,-0.6,-2.03,-0.38,0.77
T2,0.12,0.34,-2.1,-0.32
D_0,0.01,-0.1,0.37,-1.73
