,T0,T1,T2,A_1
T0,-0.88,-0.94,0.1,0.06
T1,-0.25,-1.96,0.05,-0.66
T2,0.05,0.03,-2.04,-0.46
A_1,-0.18,0.0,-0.53,-2.13
