,T0,T1,T2,C_2
T0,-0.83,-0.56,-0.28,-0.36
T1,-0.52,-1.99,-0.02,0.31
T2,0.33,0.12,-2.12,-0.49
C_2,-0.96,-0.38,0.3,-1.65
