,T0,T1,T2,E_3
T0,-0.93,-0.84,-0.03,0.51
T1,-0.39,-2.01,-0.02,0.28
T2,-0.04,0.0,-2.2,0.87
E_3,-0.77,-1.04,-0.74,-1.66
