,T0,T1,T2,B_2
T0,-0.86,-0.84,0.0,-0.1
T1,-0.35,-2.0,0.03,0.14
T2,0.14,0.07,-2.07,-0.29
B_2,-0.02,0.19,-0.2,-1.67
