,T0,T1,T2,D_0
T0,-0.87,-1.4,-0.06,0.52
T1,-0.14,-2.14,0.0,0.7
T2,0.22,0.57,-2.11,-0.24
D_0,-0.31,0.33,0.36,-1.28
