,T0,T1,T2,B_1
T0,-0.76,-0.73,0.17,-0.16
T1,-0.24,-1.95,-0.03,-0.0
T2,-0.04,0.56,-2.23,0.29
B_1,0.08,0.36,-0.67,-0.06
