,T0,T1,T2,A_0
T0,-0.68,-0.54,-0.1,0.65
T1,-1.39,-1.95,0.0,-0.0
T2,-0.0,1.44,-1.88,-0.69
A_0,0.0,-0.25,-0.28,-2.33
