,T0,T1,T2,B_2
T0,-0.66,-0.77,-0.13,0.28
T1,-1.06,-1.99,0.0,0.0
T2,-0.0,1.41,-1.91,-0.01
B_2,0.0,0.25,-0.17,-1.53
