,T0,T1,T2,D_0
T0,-0.63,-0.5,-0.14,0.0
T1,-1.64,-2.09,0.0,1.39
T2,-0.01,1.39,-1.9,-0.03
D_0,0.13,0.0,-0.06,-2.17
