,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),ATM (M)
TP53 (M),0.63,-0.42,-3.77,-2.99,0.0
MCL1/1q (Amp),-0.48,0.05,-2.8,-0.58,-0.83
TERT/5p (Amp),0.47,0.89,-0.91,-0.68,-0.47
KRAS (M),-0.6,-1.03,-3.47,0.22,-0.47
ATM (M),-1.98,-0.01,-0.61,0.93,-2.64
