,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),SMARCA4 (M)
TP53 (M),0.61,-0.3,-3.79,-2.93,-0.0
MCL1/1q (Amp),-0.57,0.06,-2.81,-0.6,-0.14
TERT/5p (Amp),0.48,0.9,-0.92,-0.72,-0.21
KRAS (M),-0.59,-1.07,-3.41,0.24,-1.13
SMARCA4 (M),-0.63,-0.01,-2.08,-0.01,-2.09
