,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),PIK3CA (M)
TP53 (M),0.61,-0.28,-3.82,-2.65,-0.5
MCL1/1q (Amp),-0.6,0.09,-2.95,-0.63,-0.43
TERT/5p (Amp),0.48,0.91,-0.91,-0.7,-0.68
KRAS (M),-0.69,-1.04,-3.57,0.24,-0.0
PIK3CA (M),-0.66,-0.33,-0.85,-1.2,-2.06
