,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),ERBB2 (M)
TP53 (M),0.54,-0.0,-3.55,-2.3,-1.22
MCL1/1q (Amp),-0.92,0.18,-3.2,-0.72,-0.38
TERT/5p (Amp),0.46,0.93,-0.91,-0.73,-0.68
KRAS (M),-0.83,-0.9,-3.63,0.3,-2.72
ERBB2 (M),-0.21,-0.54,-0.93,-2.58,-2.36
