,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),KEAP1 (M)
TP53 (M),0.71,-0.77,-3.96,-3.59,0.02
MCL1/1q (Amp),-0.23,-0.12,-2.05,-0.36,-0.16
TERT/5p (Amp),0.48,0.85,-0.85,-0.66,-0.71
KRAS (M),-0.48,-1.61,-3.59,0.27,-0.9
KEAP1 (M),-1.77,0.43,-3.48,0.02,-1.42
