,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),RB1 (M)
TP53 (M),0.49,-0.11,-3.57,-2.05,1.68
MCL1/1q (Amp),-0.91,0.13,-3.02,-0.66,0.83
TERT/5p (Amp),0.44,0.9,-0.92,-0.7,0.2
KRAS (M),-0.97,-1.01,-3.76,0.3,-0.0
RB1 (M),0.0,0.0,-0.68,-1.95,-2.63
