,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),SETD2 (M)
TP53 (M),0.67,-0.41,-3.92,-2.9,-2.6
MCL1/1q (Amp),-0.46,0.02,-2.65,-0.48,-0.79
TERT/5p (Amp),0.48,0.87,-0.9,-0.71,-0.53
KRAS (M),-0.61,-1.36,-3.54,0.28,-1.46
SETD2 (M),-0.38,-1.01,-1.42,-0.61,-2.25
