,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),APC (M)
TP53 (M),0.52,-0.0,-3.53,-2.26,-0.85
MCL1/1q (Amp),-0.96,0.18,-3.25,-0.74,0.18
TERT/5p (Amp),0.46,0.92,-0.93,-0.71,-0.26
KRAS (M),-0.86,-0.86,-3.63,0.27,-0.79
APC (M),0.0,-0.0,-0.66,-0.82,-3.06
