,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),ATRX (M)
TP53 (M),0.53,-0.0,-3.59,-2.57,0.03
MCL1/1q (Amp),-0.96,0.23,-3.39,-0.94,-0.0
TERT/5p (Amp),0.45,0.93,-0.93,-0.73,-0.02
KRAS (M),-0.76,-0.6,-3.43,0.2,-0.0
ATRX (M),0.0,-0.0,-0.53,0.68,-3.63
