,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),FAT1 (M)
TP53 (M),0.49,-0.01,-3.43,-2.08,0.0
MCL1/1q (Amp),-0.96,0.16,-3.18,-0.67,-0.0
TERT/5p (Amp),0.45,0.92,-0.93,-0.69,-0.27
KRAS (M),-0.95,-0.99,-3.74,0.3,-0.32
FAT1 (M),0.14,-0.07,-0.62,-0.04,-2.93
