,T0,T1,T2,A_0
T0,-0.8,-0.62,0.34,0.25
T1,-0.11,-1.92,-0.0,-0.62
T2,0.0,0.67,-2.1,-0.6
A_0,-0.0,0.0,-0.73,-2.42
