,T0,T1,T2,B_1
T0,-0.81,-0.76,0.12,-0.41
T1,-0.29,-2.07,0.18,0.64
T2,-0.19,0.67,-2.0,0.09
B_1,0.01,0.0,-0.39,-0.08
