,T0,T1,T2,D_0
T0,-0.95,-1.43,-0.28,0.36
T1,-0.08,-1.95,-0.0,0.73
T2,0.19,0.99,-2.01,-0.61
D_0,-0.12,0.59,0.0,-1.29
