,T0,T1,T2,E_3
T0,-1.0,-0.78,0.02,0.48
T1,-0.24,-1.76,0.39,-0.24
T2,-0.27,0.62,-2.01,0.58
E_3,-0.72,-0.28,-0.55,-1.86
