,T0,T1,T2,C_2
T0,-0.89,-1.07,-0.13,-0.29
T1,-0.02,-1.83,0.0,0.29
T2,0.02,0.86,-2.03,-0.22
C_2,-1.48,-0.08,0.31,-1.67
