,T0,T1,T2,E_3
T0,-0.85,-0.79,-0.0,0.0
T1,-0.08,-1.87,0.0,-0.0
T2,-0.15,0.44,-2.16,0.0
E_3,0.59,-0.0,0.37,-2.2
