,T0,T1,T2,C_3
T0,-0.71,-0.64,-0.0,-0.47
T1,-0.09,-1.87,0.0,-0.0
T2,-0.03,0.42,-2.18,-0.01
C_3,-0.45,-0.07,-0.12,-0.21
