,T0,T1,T2,A_1
T0,-0.86,-0.6,-0.0,0.02
T1,-0.19,-1.84,0.0,-0.0
T2,-0.1,0.48,-2.13,-0.73
A_1,0.01,-0.0,-0.64,-2.3
