,T0,T1,T2,C_0
T0,-0.93,-0.5,-0.14,0.18
T1,-0.92,-1.98,-0.02,0.4
T2,0.16,0.18,-2.19,-0.55
C_0,-0.78,-0.3,0.45,-1.56
