,T0,T1,T2,D_0
T0,-0.91,-1.19,-0.5,0.27
T1,-0.47,-2.16,-0.33,0.69
T2,0.45,0.33,-2.26,-0.44
D_0,-0.07,0.01,0.37,-0.99
