,T0,T1,T2,A_0
T0,-0.89,-1.02,-0.01,0.01
T1,-0.37,-1.98,0.0,-0.65
T2,0.1,0.1,-2.18,-1.04
A_0,-0.29,-0.03,-0.04,-2.34
