,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),SETD2 (M)
TP53 (M),-0.14,0.97,0.0,-1.96,-0.0,-0.78
RB1 (M),0.0,-3.0,0.07,-1.37,-0.93,-1.61
RB1/13q (Del),-0.5,0.0,-0.86,-1.25,-1.25,-0.75
STK11 (M),-1.04,-1.47,-0.37,-1.29,-0.0,-1.54
KEAP1 (M),-1.24,-0.0,-0.2,2.21,-2.3,-0.34
SETD2 (M),-1.78,-0.85,-0.65,-2.19,-0.11,-2.37
