,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),TERT/5p (Amp)
TP53 (M),-0.28,0.73,0.0,-1.91,-0.01,0.35
RB1 (M),0.04,-3.32,0.01,-1.39,-0.92,0.66
RB1/13q (Del),-0.56,-0.0,-0.85,-1.5,-1.38,-0.0
STK11 (M),-1.02,-1.32,-0.24,-1.28,-0.0,-0.25
KEAP1 (M),-1.14,-0.0,-0.09,2.21,-2.21,-0.49
TERT/5p (Amp),-1.96,0.0,-0.49,-2.26,-2.08,0.06
