,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),RBM10 (M)
TP53 (M),-0.09,1.0,-0.0,-1.94,-0.0,-0.89
RB1 (M),0.0,-2.99,0.08,-1.34,-0.94,-0.63
RB1/13q (Del),-0.5,-0.0,-0.83,-1.32,-1.36,-0.54
STK11 (M),-1.06,-1.43,-0.33,-1.26,0.0,-0.98
KEAP1 (M),-1.29,-0.0,-0.16,2.22,-2.23,-0.94
RBM10 (M),-1.94,-0.01,-1.24,-0.51,-0.31,-1.39
