,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),KMT2D (M)
TP53 (M),-0.16,1.0,-0.0,-2.03,-0.04,-0.0
RB1 (M),0.0,-3.02,0.08,-1.36,-0.99,-1.01
RB1/13q (Del),-0.48,0.0,-0.88,-1.39,-1.48,-0.01
STK11 (M),-0.99,-1.41,-0.31,-1.36,-0.0,0.24
KEAP1 (M),-1.17,-0.0,-0.14,2.21,-2.33,-0.0
KMT2D (M),-0.16,-1.02,-0.79,-1.31,1.1,-3.25
