,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),ATM (M)
TP53 (M),-0.11,0.96,-0.0,-2.31,-0.0,-1.67
RB1 (M),0.0,-3.0,0.08,-1.34,-0.98,-1.33
RB1/13q (Del),-0.44,0.0,-0.88,-1.69,-1.28,-0.13
STK11 (M),-0.85,-1.41,-0.27,-1.44,-0.0,0.6
KEAP1 (M),-1.17,-0.0,-0.07,2.31,-2.29,-2.02
ATM (M),-1.32,-0.31,-0.28,-2.26,0.88,-2.29
