,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),MYC/8q (Amp)
TP53 (M),-0.14,1.04,-0.0,-2.36,-0.35,0.0
RB1 (M),0.0,-2.85,0.2,-1.22,-1.09,-1.1
RB1/13q (Del),-0.49,0.0,-0.87,-1.55,-1.57,-0.0
STK11 (M),-0.9,-1.43,-0.36,-1.56,-0.0,0.61
KEAP1 (M),-0.72,-0.02,-0.11,2.31,-2.3,-0.59
MYC/8q (Amp),-1.11,-0.01,-0.4,-2.36,0.12,-0.33
