,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),EGFR (M)
TP53 (M),-0.07,1.11,-0.47,-2.19,-0.01,-0.13
RB1 (M),-0.0,-3.02,0.0,-1.42,-0.78,-0.0
RB1/13q (Del),-0.0,-0.0,-1.06,-1.02,-0.78,-0.05
STK11 (M),-0.8,-1.22,-0.24,-1.09,-0.0,-3.3
KEAP1 (M),-1.09,-0.0,-0.27,1.8,-1.93,-3.37
EGFR (M),-1.1,-0.0,-0.0,-3.53,-3.42,-0.36
