,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),BRAF (M)
TP53 (M),-0.15,1.01,-0.0,-2.01,-0.14,-0.33
RB1 (M),0.0,-3.02,0.08,-1.32,-0.99,-0.65
RB1/13q (Del),-0.48,0.0,-0.87,-1.18,-1.24,-0.72
STK11 (M),-0.96,-1.46,-0.41,-1.35,-0.0,0.0
KEAP1 (M),-1.04,-0.0,-0.25,2.24,-2.31,-0.98
BRAF (M),-1.1,-0.01,-0.41,-1.36,-0.0,-2.42
