,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),MET (M)
TP53 (M),-0.12,1.02,-0.0,-2.02,-0.1,-1.22
RB1 (M),0.0,-3.04,0.09,-1.35,-0.99,0.0
RB1/13q (Del),-0.48,0.0,-0.85,-1.34,-1.33,-1.02
STK11 (M),-1.01,-1.4,-0.34,-1.3,-0.0,-1.97
KEAP1 (M),-1.12,-0.0,-0.2,2.19,-2.3,-0.89
MET (M),-1.09,0.0,-0.53,-1.93,-0.96,-2.53
