,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),ARID2 (M)
TP53 (M),-0.16,0.97,0.0,-1.95,-0.14,0.0
RB1 (M),0.0,-3.03,0.08,-1.39,-1.07,-0.05
RB1/13q (Del),-0.53,0.0,-0.86,-1.47,-1.59,-0.0
STK11 (M),-1.01,-1.37,-0.28,-1.35,-0.0,-0.16
KEAP1 (M),-1.08,-0.0,-0.13,2.21,-2.34,-0.0
ARID2 (M),0.13,-0.21,-1.06,-0.18,0.01,-3.32
