,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),NF1 (M)
TP53 (M),-0.15,0.96,-0.0,-2.17,-0.08,-0.29
RB1 (M),0.0,-3.03,0.07,-1.41,-1.06,-0.0
RB1/13q (Del),-0.47,0.0,-0.87,-1.38,-1.36,-0.21
STK11 (M),-0.91,-1.38,-0.33,-1.36,-0.0,-0.11
KEAP1 (M),-1.07,-0.0,-0.18,2.22,-2.35,0.12
NF1 (M),-0.0,-0.15,-0.51,-0.95,0.0,-2.59
