,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),BCL2/18q (Del)
TP53 (M),-0.25,1.0,-0.0,-1.52,0.06,0.25
RB1 (M),0.0,-3.02,0.18,-1.32,-0.76,-0.22
RB1/13q (Del),-0.62,-0.0,-1.25,-1.26,-0.99,1.33
STK11 (M),-1.33,-1.42,-0.1,-1.18,-0.0,-0.84
KEAP1 (M),-1.71,-0.0,-0.21,2.19,-2.2,-0.19
BCL2/18q (Del),-2.69,-0.0,-0.78,-0.96,-1.21,-0.39
