,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),CDKN2A/9p (Del)
TP53 (M),0.09,1.0,-0.24,-2.08,-0.0,-1.28
RB1 (M),0.0,-2.78,0.37,-1.24,-0.76,-2.06
RB1/13q (Del),0.02,-0.0,-1.22,-0.67,-0.91,0.45
STK11 (M),-0.83,-1.64,-0.59,-1.16,-0.0,-0.99
KEAP1 (M),-0.98,-0.0,-0.55,2.28,-2.32,-0.0
CDKN2A/9p (Del),-0.2,-0.73,0.0,0.0,-0.51,-0.6
