,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),ATRX (M)
TP53 (M),-0.15,0.98,-0.0,-1.97,-0.2,-0.16
RB1 (M),0.0,-3.03,0.06,-1.38,-1.11,-0.0
RB1/13q (Del),-0.49,0.0,-0.87,-1.38,-1.48,-0.0
STK11 (M),-0.98,-1.38,-0.31,-1.35,-0.0,-0.53
KEAP1 (M),-1.01,-0.0,-0.17,2.22,-2.36,0.0
ATRX (M),-0.73,-0.0,-0.09,-0.94,0.47,-3.18
