,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),KRAS (M)
TP53 (M),-0.09,0.83,0.57,-2.35,-0.49,-0.55
RB1 (M),0.0,-2.83,0.0,-1.31,-1.34,-0.78
RB1/13q (Del),-1.99,0.51,-0.23,-1.96,-1.04,-2.99
STK11 (M),-0.82,-1.33,-0.12,-1.42,-0.0,0.0
KEAP1 (M),-0.81,-0.01,-0.3,2.6,-2.07,-1.74
KRAS (M),-3.24,-1.48,-0.18,-0.21,0.57,-0.04
