,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),SMARCA4 (M)
TP53 (M),-0.14,0.98,-0.0,-2.43,-0.64,0.35
RB1 (M),0.0,-3.02,0.07,-1.39,-1.35,-0.13
RB1/13q (Del),-0.46,-0.0,-0.84,-1.57,-1.56,-1.34
STK11 (M),-0.82,-1.4,-0.25,-1.4,-0.0,0.01
KEAP1 (M),-0.61,-0.0,-0.19,2.27,-2.42,-1.04
SMARCA4 (M),-1.13,-0.23,-0.1,0.31,1.35,-2.62
